periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2009-01,AMAZONAS,activos_totales,111.57,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-531.6648,-82.6548563603835
2009-01,AMAZONAS,morosidad,4.55,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-1.0136000000000003,-18.218419728233524
2009-01,AMAZONAS,pasivos_totales,100.08,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-474.6176,-82.58562416129804
2009-01,AMAZONAS,patrimonio,11.38,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-56.4608,-83.22543366233889
2009-01,AMAZONAS,roe,11.41,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-3.0595999999999997,-21.14502128600652
2009-01,AMAZONAS,solvencia_proxy,8.65,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-5.798,-40.13012181616833
2009-01,AUSTRO,activos_totales,646.02,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,2.7852000000000317,0.4329989608771217
2009-01,AUSTRO,morosidad,6.1,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,0.5363999999999995,9.641239485225386
2009-01,AUSTRO,pasivos_totales,588.88,millones_usd,informativo,2009-01-01,574.6976,252.1,25,14.18240000000003,2.467802197190319
2009-01,AUSTRO,patrimonio,56.66,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-11.180800000000005,-16.48093772479099
2009-01,AUSTRO,roe,10.11,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-4.3596,-30.129374689003154
2009-01,AUSTRO,solvencia_proxy,7.52,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-6.928000000000001,-47.951273532668885
2009-01,BOLIVARIANO,activos_totales,1271.1,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,627.8652,97.61057703967509
2009-01,BOLIVARIANO,morosidad,1.39,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-4.1736,-75.01617657631749
2009-01,BOLIVARIANO,pasivos_totales,1157.19,millones_usd,informativo,2009-01-01,574.6976,252.1,25,582.4924000000001,101.35633070331251
2009-01,BOLIVARIANO,patrimonio,112.64,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,44.7992,66.03577787997783
2009-01,BOLIVARIANO,roe,13.53,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-0.9396000000000004,-6.493614198042796
2009-01,BOLIVARIANO,solvencia_proxy,7.84,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-6.6080000000000005,-45.736434108527135
2009-01,CAPITAL,activos_totales,65.8,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-577.4348,-89.77045396175704
2009-01,CAPITAL,morosidad,10.98,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,5.4164,97.35423107340571
2009-01,CAPITAL,pasivos_totales,54.06,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-520.6376,-90.59331377058126
2009-01,CAPITAL,patrimonio,11.72,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-56.1208,-82.72426032711878
2009-01,CAPITAL,roe,2.82,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-11.6496,-80.51086415657655
2009-01,CAPITAL,solvencia_proxy,15.37,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,0.9219999999999988,6.381506090808409
2009-01,CITIBANK,activos_totales,319.13,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-324.10479999999995,-50.386701714521664
2009-01,CITIBANK,morosidad,4.22,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-1.3436000000000003,-24.149831044647357
2009-01,CITIBANK,pasivos_totales,289.8,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-284.89759999999995,-49.573480035413404
2009-01,CITIBANK,patrimonio,28.96,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-38.8808,-57.311824153017064
2009-01,CITIBANK,roe,15.54,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,1.0703999999999994,7.397578371205834
2009-01,CITIBANK,solvencia_proxy,7.7,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-6.748,-46.70542635658915
2009-01,COFIEC,activos_totales,12.37,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-630.8648,-98.07690753050052
2009-01,COFIEC,morosidad,23.99,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,18.426399999999997,331.1956287295995
2009-01,COFIEC,pasivos_totales,3.98,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-570.7176,-99.30746187212196
