banco_estandarizado,activos_totales,pasivos_totales,patrimonio,roe,morosidad,solvencia_proxy
AMAZONAS,458.55,413.84,44.68,22.21,3.11,7.92
ATLANTIDA,149.5,137.73,11.72,1.5,2.63,6.73
AUSTRO,3528.07,3232.74,288.1,10.07,3.39,6.83
BOLIVARIANO,6282.75,5676.8,589.5,11.0,1.62,8.95
CAPITAL,82.75,71.81,11.04,-4.09,3.15,10.24
CITIBANK,885.9,764.94,115.61,18.65,0.0,11.95
COMERCIAL DE MANABI,151.11,130.71,20.35,98.34,2.56,11.02
COOPNACIONAL,249.59,214.64,34.68,3.06,5.15,13.03
DELBANK,37.9,25.49,12.41,13.55,2.85,28.52
DESARROLLO DE LOS PUEBLOS S.A,331.74,292.42,38.9,4.37,9.41,10.09
DINERS,3323.48,2733.81,577.1,8.58,5.52,16.08
GENERAL RUMIÑAHUI,1436.51,1297.41,134.3,14.28,3.3,9.27
GUAYAQUIL,10455.87,9564.68,852.18,17.6,2.3,7.77
INTERNACIONAL,6208.41,5649.99,542.4,11.34,1.66,8.19
LITORAL,43.41,31.56,11.78,2.55,9.22,23.6
LOJA,1036.13,943.36,89.66,13.86,3.53,7.92
MACHALA,1276.5,1183.06,91.54,8.21,2.51,6.6
PACIFICO,10241.4,9063.59,1117.76,21.51,2.45,10.22
PICHINCHA,22343.92,20142.45,2139.05,11.47,4.21,9.25
PROCREDIT,688.41,633.34,54.58,3.86,3.0,7.29
PRODUBANCO,9198.75,8469.82,703.26,14.25,2.89,7.27
SOLIDARIO,783.5,631.03,148.86,9.71,5.04,17.99
VISIONFUND ECUADOR,175.44,149.92,24.07,22.12,4.62,13.52
