periodo,indicador,promedio_sistema,mediana_sistema,bancos_con_dato
2009-01,activos_totales,643.2348,288.57,25
2009-01,morosidad,5.5636,3.63,25
2009-01,pasivos_totales,574.6976,252.1,25
2009-01,patrimonio,67.8408,28.96,25
2009-01,roe,14.4696,11.64,25
2009-01,solvencia_proxy,14.448,9.44,25
2009-02,activos_totales,651.2508333333334,270.625,24
2009-02,morosidad,6.478333333333333,4.355,24
2009-02,pasivos_totales,581.3854166666666,227.82,24
2009-02,patrimonio,68.45166666666667,26.634999999999998,24
2009-02,roe,17.125,12.115,24
2009-02,solvencia_proxy,14.571250000000001,9.49,24
2009-03,activos_totales,634.8924,288.54,25
2009-03,morosidad,5.74,3.62,25
2009-03,pasivos_totales,565.9516,251.39,25
2009-03,patrimonio,66.75439999999999,28.96,25
2009-03,roe,18.496000000000002,11.42,25
2009-03,solvencia_proxy,14.723199999999999,9.44,25
2009-04,activos_totales,641.7916,267.06,25
2009-04,morosidad,6.0848,4.15,25
2009-04,pasivos_totales,572.1744,236.61,25
2009-04,patrimonio,66.6512,28.96,25
2009-04,roe,13.6976,9.84,25
2009-04,solvencia_proxy,14.4244,9.38,25
2009-05,activos_totales,644.4083999999999,280.77,25
2009-05,morosidad,5.5328,3.93,25
2009-05,pasivos_totales,574.1812,250.18,25
2009-05,patrimonio,66.4628,28.96,25
2009-05,roe,13.510399999999999,11.69,25
2009-05,solvencia_proxy,14.2536,9.18,25
2009-06,activos_totales,639.936,295.78,25
2009-06,morosidad,5.135599999999999,3.8,25
2009-06,pasivos_totales,569.0740000000001,257.73,25
2009-06,patrimonio,66.4516,28.96,25
2009-06,roe,12.6636,11.59,25
2009-06,solvencia_proxy,14.7576,8.95,25
2009-07,activos_totales,646.4252,287.86,25
2009-07,morosidad,9.0352,4.19,25
2009-07,pasivos_totales,575.2144,249.59,25
2009-07,patrimonio,66.1828,28.96,25
2009-07,roe,12.0548,11.18,25
2009-07,solvencia_proxy,14.365599999999999,8.77,25
2009-08,activos_totales,660.5856,291.22,25
2009-08,morosidad,5.626799999999999,4.26,25
2009-08,pasivos_totales,588.518,252.82,25
2009-08,patrimonio,66.27640000000001,28.96,25
2009-08,roe,11.8836,10.79,25
2009-08,solvencia_proxy,14.2128,8.67,25
2009-09,activos_totales,654.7592,291.42,25
2009-09,morosidad,6.5368,4.38,25
2009-09,pasivos_totales,582.014,252.85,25
2009-09,patrimonio,66.24640000000001,28.96,25
2009-09,roe,12.094000000000001,11.62,25
2009-09,solvencia_proxy,14.1776,8.5,25
2009-10,activos_totales,659.2719999999999,280.64,25
2009-10,morosidad,7.969600000000001,4.57,25
2009-10,pasivos_totales,585.9344,249.69,25
2009-10,patrimonio,66.2136,28.96,25
2009-10,roe,12.08,11.75,25
2009-10,solvencia_proxy,13.5948,8.71,25
2009-11,activos_totales,669.7275999999999,284.55,25
2009-11,morosidad,6.446000000000001,4.69,25
2009-11,pasivos_totales,595.7192,246.62,25
2009-11,patrimonio,66.2224,28.96,25
2009-11,roe,18.8188,11.75,25
2009-11,solvencia_proxy,13.3524,8.16,25
2009-12,activos_totales,701.0244,292.93,25
2009-12,morosidad,8.6212,3.41,25
2009-12,pasivos_totales,626.2368,260.32,25
2009-12,patrimonio,74.7868,31.07,25
2009-12,roe,14.304,12.42,25
2009-12,solvencia_proxy,13.546800000000001,8.75,25
2010-01,activos_totales,711.388,292.02,25
2010-01,morosidad,6.19,3.62,25
2010-01,pasivos_totales,635.982,260.93,25
2010-01,patrimonio,74.778,31.07,25
2010-01,roe,14.5932,10.21,25
2010-01,solvencia_proxy,14.228,8.76,25
2010-02,activos_totales,719.2972,314.37,25
2010-02,morosidad,6.453199999999999,4.59,25
2010-02,pasivos_totales,643.844,276.1,25
2010-02,patrimonio,74.2012,31.07,25
2010-02,roe,13.144400000000001,7.62,25
2010-02,solvencia_proxy,14.2472,8.44,25
2010-03,activos_totales,730.7244000000001,314.04,25
2010-03,morosidad,5.816,3.71,25
2010-03,pasivos_totales,655.0455999999999,271.97,25
2010-03,patrimonio,73.6404,31.07,25
2010-03,roe,10.699200000000001,8.28,25
2010-03,solvencia_proxy,14.1604,8.64,25
2010-04,activos_totales,742.5236,301.28,25
2010-04,morosidad,9.0948,3.75,25
2010-04,pasivos_totales,666.3008,262.8,25
2010-04,patrimonio,73.4624,31.07,25
2010-04,roe,12.724400000000001,9.38,25
2010-04,solvencia_proxy,14.32,8.76,25
2010-05,activos_totales,747.2236,296.62,25
2010-05,morosidad,9.585600000000001,4.18,25
2010-05,pasivos_totales,670.1628,258.02,25
2010-05,patrimonio,73.4636,31.07,25
2010-05,roe,10.888,8.98,25
2010-05,solvencia_proxy,13.87,8.41,25
2010-06,activos_totales,748.722,296.4,25
2010-06,morosidad,10.738,4.05,25
2010-06,pasivos_totales,671.4376,257.59,25
2010-06,patrimonio,72.736,31.07,25
2010-06,roe,10.5452,10.17,25
2010-06,solvencia_proxy,13.5888,9.14,25
2010-07,activos_totales,761.5011999999999,290.04,25
2010-07,morosidad,9.087200000000001,4.23,25
2010-07,pasivos_totales,683.3336,251.02,25
2010-07,patrimonio,72.7372,31.07,25
2010-07,roe,10.4528,9.6,25
2010-07,solvencia_proxy,13.5476,8.22,25
2010-08,activos_totales,762.462,292.46,25
2010-08,morosidad,9.754399999999999,4.31,25
2010-08,pasivos_totales,683.2544,253.22,25
2010-08,patrimonio,72.73479999999999,31.07,25
2010-08,roe,14.048,10.71,25
2010-08,solvencia_proxy,13.2008,8.14,25
2010-09,activos_totales,765.3272000000001,297.8,25
2010-09,morosidad,5.3088,3.33,25
2010-09,pasivos_totales,685.0060000000001,257.8,25
2010-09,patrimonio,72.7944,31.07,25
2010-09,roe,10.934800000000001,9.49,25
