banco_estandarizado,indicador,valor_promedio,valor_mediana,periodos_con_dato,periodos_totales,ranking_promedio_historico
PICHINCHA,activos_totales,11009.45907317073,10246.9,205,205,1
PACIFICO,activos_totales,5172.990292682927,5225.44,205,205,2
GUAYAQUIL,activos_totales,4775.151463414634,3933.98,205,205,3
PRODUBANCO,activos_totales,4454.595951219512,4056.14,205,205,4
BOLIVARIANO,activos_totales,3232.1231219512197,2971.43,205,205,5
INTERNACIONAL,activos_totales,3224.6488292682925,3267.24,205,205,6
DINERS,activos_totales,2441.7097115384613,2337.105,104,104,7
AUSTRO,activos_totales,1728.6259024390245,1677.45,205,205,8
GENERAL RUMIÑAHUI,activos_totales,782.4732195121952,731.47,205,205,9
MACHALA,activos_totales,743.1499024390245,690.02,205,205,10
SOLIDARIO,activos_totales,670.7025365853658,729.72,205,205,11
PROMERICA,activos_totales,642.419104477612,644.84,67,68,12
CITIBANK,activos_totales,585.7848292682927,593.31,205,205,13
LOJA,activos_totales,506.2531707317073,440.42,205,205,14
MM JARAMILLO ARTEAGA,activos_totales,460.6333333333334,460.75,3,3,15
PROCREDIT,activos_totales,460.0954634146341,414.27,205,205,16
UNIBANCO,activos_totales,326.57784313725494,330.82,51,72,17
AMAZONAS,activos_totales,211.56736585365852,162.85,205,205,18
DESARROLLO DE LOS PUEBLOS S.A,activos_totales,201.15412587412587,181.46,143,143,19
COOPNACIONAL,activos_totales,185.73971098265898,184.19,173,173,20
LLOYDS BANK,activos_totales,128.46129032258065,172.49,31,31,21
TERRITORIAL,activos_totales,128.4528,128.94,50,72,22
ATLANTIDA,activos_totales,121.792,119.435,10,10,23
VISIONFUND ECUADOR,activos_totales,97.87428571428572,87.91,112,112,24
D-MIRO,activos_totales,90.95920731707317,101.58,164,164,25
CAPITAL,activos_totales,74.9950731707317,65.08,205,205,26
FINCA,activos_totales,58.684000000000005,51.400000000000006,170,170,27
COMERCIAL DE MANABI,activos_totales,55.97068292682927,51.67,205,205,28
LITORAL,activos_totales,32.66878048780488,37.5,205,205,29
DELBANK,activos_totales,27.478243902439026,29.45,205,205,30
COFIEC,activos_totales,25.973924050632913,26.42,79,79,31
SUDAMERICANO,activos_totales,10.347462686567164,10.03,67,72,32
PROMERICA,morosidad,2.146470588235294,2.315,68,68,1
MM JARAMILLO ARTEAGA,morosidad,2.32,2.3,3,3,2
GUAYAQUIL,morosidad,2.4708780487804876,2.58,205,205,3
MACHALA,morosidad,2.6834146341463416,2.61,205,205,4
GENERAL RUMIÑAHUI,morosidad,2.8489268292682928,2.72,205,205,5
PROCREDIT,morosidad,3.0522926829268293,2.9,205,205,6
PACIFICO,morosidad,3.090390243902439,3.24,205,205,7
PICHINCHA,morosidad,3.8722926829268296,3.87,205,205,8
LOJA,morosidad,3.880390243902439,3.63,205,205,9
CITIBANK,morosidad,4.015609756097561,0.04,205,205,10
SUDAMERICANO,morosidad,4.355671641791044,2.37,67,72,11
VISIONFUND ECUADOR,morosidad,4.619821428571428,4.72,112,112,12
DINERS,morosidad,4.882788461538461,4.69,104,104,13
AUSTRO,morosidad,5.022585365853658,5.09,205,205,14
AMAZONAS,morosidad,5.034390243902439,4.62,205,205,15
PRODUBANCO,morosidad,5.156975609756098,2.19,205,205,16
UNIBANCO,morosidad,5.372222222222223,6.545,72,72,17
DELBANK,morosidad,5.576195121951219,4.65,205,205,18
ATLANTIDA,morosidad,6.601999999999999,7.315,10,10,19
SOLIDARIO,morosidad,6.754439024390244,6.24,205,205,20
COMERCIAL DE MANABI,morosidad,6.938878048780488,6.87,205,205,21
DESARROLLO DE LOS PUEBLOS S.A,morosidad,7.267762237762238,7.33,143,143,22
FINCA,morosidad,8.038,6.98,170,170,23
LITORAL,morosidad,9.092439024390243,9.0,205,205,24
D-MIRO,morosidad,9.235853658536586,7.02,164,164,25
INTERNACIONAL,morosidad,12.865951219512196,1.58,205,205,26
TERRITORIAL,morosidad,12.889027777777777,13.739999999999998,72,72,27
CAPITAL,morosidad,17.156878048780488,8.36,205,205,28
COFIEC,morosidad,21.402784810126583,19.7,79,79,29
COOPNACIONAL,morosidad,28.041734104046245,23.51,173,173,30
BOLIVARIANO,morosidad,31.7299512195122,1.58,205,205,31
LLOYDS BANK,morosidad,44.36419354838709,25.16,31,31,32
PICHINCHA,pasivos_totales,9899.61687804878,9171.54,205,205,1
PACIFICO,pasivos_totales,4533.781024390244,4587.58,205,205,2
GUAYAQUIL,pasivos_totales,4304.546487804878,3525.82,205,205,3
PRODUBANCO,pasivos_totales,4075.2462926829267,3710.8,205,205,4
BOLIVARIANO,pasivos_totales,2931.7163902439024,2710.11,205,205,5
INTERNACIONAL,pasivos_totales,2913.636536585366,2970.1,205,205,6
DINERS,pasivos_totales,1965.4901923076925,1884.43,104,104,7
AUSTRO,pasivos_totales,1562.1476097560976,1499.57,205,205,8
GENERAL RUMIÑAHUI,pasivos_totales,715.7815121951219,671.52,205,205,9
MACHALA,pasivos_totales,684.9954146341463,639.84,205,205,10
PROMERICA,pasivos_totales,593.2792537313433,594.95,67,68,11
SOLIDARIO,pasivos_totales,556.9843902439025,613.15,205,205,12
CITIBANK,pasivos_totales,517.6071707317074,528.65,205,205,13
LOJA,pasivos_totales,455.59760975609754,393.34,205,205,14
MM JARAMILLO ARTEAGA,pasivos_totales,426.8733333333333,426.78,3,3,15
PROCREDIT,pasivos_totales,406.828243902439,364.8,205,205,16
UNIBANCO,pasivos_totales,266.36470588235295,271.19,51,72,17
AMAZONAS,pasivos_totales,189.33131707317074,142.68,205,205,18
DESARROLLO DE LOS PUEBLOS S.A,pasivos_totales,177.82475524475524,159.02,143,143,19
COOPNACIONAL,pasivos_totales,157.65427745664738,155.19,173,173,20
TERRITORIAL,pasivos_totales,116.42,115.845,50,72,21
ATLANTIDA,pasivos_totales,109.59200000000001,107.19,10,10,22
LLOYDS BANK,pasivos_totales,107.07548387096774,147.36,31,31,23
VISIONFUND ECUADOR,pasivos_totales,79.27178571428571,69.705,112,112,24
D-MIRO,pasivos_totales,75.72792682926828,84.85499999999999,164,164,25
CAPITAL,pasivos_totales,63.29082926829269,53.05,205,205,26
FINCA,pasivos_totales,47.44088235294117,41.230000000000004,170,170,27
