periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,ranking,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2026-03,PICHINCHA,activos_totales,22343.92,millones_usd,mayor_es_tamano,2026-03-01,1,3450.8517391304345,885.9,23,18893.068260869564,547.4900021532177
2026-03,GUAYAQUIL,activos_totales,10455.87,millones_usd,mayor_es_tamano,2026-03-01,2,3450.8517391304345,885.9,23,7005.018260869567,202.9938922451282
2026-03,PACIFICO,activos_totales,10241.4,millones_usd,mayor_es_tamano,2026-03-01,3,3450.8517391304345,885.9,23,6790.548260869566,196.77890486772077
2026-03,PRODUBANCO,activos_totales,9198.75,millones_usd,mayor_es_tamano,2026-03-01,4,3450.8517391304345,885.9,23,5747.898260869566,166.56462506609904
2026-03,BOLIVARIANO,activos_totales,6282.75,millones_usd,mayor_es_tamano,2026-03-01,5,3450.8517391304345,885.9,23,2831.8982608695655,82.06374758896955
2026-03,INTERNACIONAL,activos_totales,6208.41,millones_usd,mayor_es_tamano,2026-03-01,6,3450.8517391304345,885.9,23,2757.5582608695654,79.90949682365753
2026-03,AUSTRO,activos_totales,3528.07,millones_usd,mayor_es_tamano,2026-03-01,7,3450.8517391304345,885.9,23,77.21826086956571,2.237658024943825
2026-03,DINERS,activos_totales,3323.48,millones_usd,mayor_es_tamano,2026-03-01,8,3450.8517391304345,885.9,23,-127.37173913043443,-3.691023224386056
2026-03,GENERAL RUMIÑAHUI,activos_totales,1436.51,millones_usd,mayor_es_tamano,2026-03-01,9,3450.8517391304345,885.9,23,-2014.3417391304345,-58.372306068356906
2026-03,MACHALA,activos_totales,1276.5,millones_usd,mayor_es_tamano,2026-03-01,10,3450.8517391304345,885.9,23,-2174.3517391304345,-63.00913233897264
2026-03,LOJA,activos_totales,1036.13,millones_usd,mayor_es_tamano,2026-03-01,11,3450.8517391304345,885.9,23,-2414.7217391304343,-69.97465906022697
2026-03,CITIBANK,activos_totales,885.9,millones_usd,mayor_es_tamano,2026-03-01,12,3450.8517391304345,885.9,23,-2564.9517391304344,-74.32807703806962
2026-03,SOLIDARIO,activos_totales,783.5,millones_usd,mayor_es_tamano,2026-03-01,13,3450.8517391304345,885.9,23,-2667.3517391304345,-77.2954603898042
2026-03,PROCREDIT,activos_totales,688.41,millones_usd,mayor_es_tamano,2026-03-01,14,3450.8517391304345,885.9,23,-2762.4417391304346,-80.05101198078509
2026-03,AMAZONAS,activos_totales,458.55,millones_usd,mayor_es_tamano,2026-03-01,15,3450.8517391304345,885.9,23,-2992.3017391304343,-86.71197621154398
