archivo_origen,archivo_nombre,extension,periodo,fecha_corte,celda_fecha,valor_fecha_original,hoja_balance,metodo_balance,hojas_indicadores,estado,detalle
00_datos_crudos\BOL BANCOS PRIVADOS 28022015 act.xlsx,BOL BANCOS PRIVADOS 28022015 act.xlsx,.xlsx,2015-02,2015-02-28,B4,2015-02-28 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\BOL BANCOS PRIVADOS 30042015 act.xlsx,BOL BANCOS PRIVADOS 30042015 act.xlsx,.xlsx,2015-04,2015-04-30,B4,2015-04-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\BOL BANCOS PRIVADOS 30112014.xlsx,BOL BANCOS PRIVADOS 30112014.xlsx,.xlsx,2014-11,2014-11-30,B4,2014-11-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 162
00_datos_crudos\BOL BANCOS PRIVADOS 30072015 act.xlsx,BOL BANCOS PRIVADOS 30072015 act.xlsx,.xlsx,2015-07,2015-07-31,A4,2015-07-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\BOL BANCOS PRIVADOS 30092014.xlsx,BOL BANCOS PRIVADOS 30092014.xlsx,.xlsx,2014-09,2014-09-30,B4,2014-09-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 162
00_datos_crudos\BOL BANCOS PRIVADOS 30062015 act.xlsx,BOL BANCOS PRIVADOS 30062015 act.xlsx,.xlsx,2015-06,2015-06-30,A4,2015-06-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\BOL BANCOS PRIVADOS 31032015 act.xlsx,BOL BANCOS PRIVADOS 31032015 act.xlsx,.xlsx,2015-03,2015-03-31,B4,2015-03-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\BOL BANCOS PRIVADOS 31012015 act.xlsx,BOL BANCOS PRIVADOS 31012015 act.xlsx,.xlsx,2015-01,2015-01-31,B4,2015-01-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\BOL BANCOS PRIVADOS 31052015 act.xlsx,BOL BANCOS PRIVADOS 31052015 act.xlsx,.xlsx,2015-05,2015-05-31,B4,2015-05-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 138
00_datos_crudos\BOL BANCOS PRIVADOS 31082014.xlsm,BOL BANCOS PRIVADOS 31082014.xlsm,.xlsm,2014-08,2014-08-31,B4,2014-08-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 162
00_datos_crudos\BOL BANCOS PRIVADOS 31102014.xlsx,BOL BANCOS PRIVADOS 31102014.xlsx,.xlsx,2014-10,2014-10-31,B4,2014-10-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 162
00_datos_crudos\BOL BANCOS PRIVADOS 31122014.xlsx,BOL BANCOS PRIVADOS 31122014.xlsx,.xlsx,2014-12,2014-12-31,B4,2014-12-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 162
00_datos_crudos\BOL BCOS PRIVADOS 201508.xlsx,BOL BCOS PRIVADOS 201508.xlsx,.xlsx,2015-08,2015-08-31,B4,2015-08-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
00_datos_crudos\BOL BCOS PRIVADOS 201509.xlsx,BOL BCOS PRIVADOS 201509.xlsx,.xlsx,2015-09,2015-09-30,B4,2015-09-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
00_datos_crudos\BOL BCOS PRIVADOS 201510.xlsx,BOL BCOS PRIVADOS 201510.xlsx,.xlsx,2015-10,2015-10-31,B4,2015-10-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
00_datos_crudos\BOL BCOS PRIVADOS 201511.xlsx,BOL BCOS PRIVADOS 201511.xlsx,.xlsx,2015-11,2015-11-30,B4,2015-11-30 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
00_datos_crudos\BOL BCOS PRIVADOS 201512.xlsx,BOL BCOS PRIVADOS 201512.xlsx,.xlsx,2015-12,2015-12-31,B4,2015-12-31 00:00:00,BALANCE,nombre_balance,INDICADORES,ok,Registros extraídos: 132
00_datos_crudos\BOL200903BCOS.xls,BOL200903BCOS.xls,.xls,2009-03,2009-03-31,B4,2009-03-31 00:00:00,BAL SAB II,contenido_estado_situacion,INDIC,ok,Registros extraídos: 150
