archivo_origen,periodo,indicador,estado,detalle,hoja,celda,candidatos
00_datos_crudos\BOL200903BCOS.xls,2009-03,patrimonio,duplicado_balance_resuelto,Se encontraron 2 coincidencias; se usó la fila con más valores.,BAL SAB II,C1221,"[('C1221', 25, 25), ('C649', 25, 25)]"
00_datos_crudos\BOL200903BCOS.xls,2009-03,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDIC,C24,"[('C24', 25, 25)]"
00_datos_crudos\BOL200903BCOS.xls,2009-03,solvencia_proxy,duplicado_codigo_resuelto,Se encontraron 2 coincidencias por código IF112; se usó la fila con más valores.,INDIC,B81,"[('B81', 25, 25), ('B80', 25, 25)]"
00_datos_crudos\BOL200907BCOS.xls,2009-07,patrimonio,duplicado_balance_resuelto,Se encontraron 2 coincidencias; se usó la fila con más valores.,BAL SAB II,C1224,"[('C1224', 25, 25), ('C650', 25, 25)]"
00_datos_crudos\BOL200907BCOS.xls,2009-07,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDIC,C24,"[('C24', 25, 25)]"
00_datos_crudos\BOL200907BCOS.xls,2009-07,solvencia_proxy,duplicado_codigo_resuelto,Se encontraron 2 coincidencias por código IF112; se usó la fila con más valores.,INDIC,B82,"[('B82', 25, 25), ('B81', 25, 25)]"
00_datos_crudos\BOL200907BCOS.xls,2009-07,roe,duplicado_codigo_resuelto,Se encontraron 2 coincidencias por código; se usó la fila con más valores.,INDIC,B40,"[('B40', 25, 25), ('B39', 25, 25)]"
00_datos_crudos\BOL201104B PLANTILLA web.xls,2011-04,patrimonio,duplicado_balance_resuelto,Se encontraron 2 coincidencias; se usó la fila con más valores.,BAL SAB II,C1225,"[('C1225', 25, 25), ('C650', 25, 25)]"
00_datos_crudos\BOL201104B PLANTILLA web.xls,2011-04,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDIC,C24,"[('C24', 25, 25)]"
00_datos_crudos\BOL201104B PLANTILLA web.xls,2011-04,solvencia_proxy,duplicado_codigo_resuelto,Se encontraron 2 coincidencias por código IF112; se usó la fila con más valores.,INDIC,B82,"[('B82', 25, 25), ('B81', 25, 25)]"
00_datos_crudos\BOL201104B PLANTILLA web.xls,2011-04,roe,duplicado_codigo_resuelto,Se encontraron 2 coincidencias por código; se usó la fila con más valores.,INDIC,B40,"[('B40', 25, 25), ('B39', 25, 25)]"
00_datos_crudos\BOL201102B PLANTILLA web .xls,2011-02,patrimonio,duplicado_balance_resuelto,Se encontraron 2 coincidencias; se usó la fila con más valores.,BAL SAB II,C1225,"[('C1225', 25, 25), ('C650', 25, 25)]"
00_datos_crudos\BOL201102B PLANTILLA web .xls,2011-02,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDIC,C24,"[('C24', 25, 25)]"
00_datos_crudos\BOL201102B PLANTILLA web .xls,2011-02,solvencia_proxy,duplicado_codigo_resuelto,Se encontraron 2 coincidencias por código IF112; se usó la fila con más valores.,INDIC,B82,"[('B82', 25, 25), ('B81', 25, 25)]"
00_datos_crudos\BOL201102B PLANTILLA web .xls,2011-02,roe,duplicado_codigo_resuelto,Se encontraron 2 coincidencias por código; se usó la fila con más valores.,INDIC,B40,"[('B40', 25, 25), ('B39', 25, 25)]"
00_datos_crudos\BOL201103B WEB.xls,2011-03,patrimonio,duplicado_balance_resuelto,Se encontraron 2 coincidencias; se usó la fila con más valores.,BAL SAB II,C1225,"[('C1225', 25, 25), ('C650', 25, 25)]"
00_datos_crudos\BOL201103B WEB.xls,2011-03,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDIC,C24,"[('C24', 25, 25)]"
00_datos_crudos\BOL201103B WEB.xls,2011-03,solvencia_proxy,duplicado_codigo_resuelto,Se encontraron 2 coincidencias por código IF112; se usó la fila con más valores.,INDIC,B82,"[('B82', 25, 25), ('B81', 25, 25)]"
00_datos_crudos\BOL201103B WEB.xls,2011-03,roe,duplicado_codigo_resuelto,Se encontraron 2 coincidencias por código; se usó la fila con más valores.,INDIC,B40,"[('B40', 25, 25), ('B39', 25, 25)]"
