archivo_origen,periodo,activos_totales,pasivos_totales,patrimonio,roe,morosidad,solvencia_proxy
00_datos_crudos\BOL BANCOS PRIVADOS 28022015 act.xlsx,2015-02,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 30042015 act.xlsx,2015-04,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 30062015 act.xlsx,2015-06,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 30072015 act.xlsx,2015-07,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 30092014.xlsx,2014-09,27,27,27,27,27,27
00_datos_crudos\BOL BANCOS PRIVADOS 30112014.xlsx,2014-11,27,27,27,27,27,27
00_datos_crudos\BOL BANCOS PRIVADOS 31012015 act.xlsx,2015-01,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 31032015 act.xlsx,2015-03,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 31052015 act.xlsx,2015-05,23,23,23,23,23,23
00_datos_crudos\BOL BANCOS PRIVADOS 31082014.xlsm,2014-08,27,27,27,27,27,27
00_datos_crudos\BOL BANCOS PRIVADOS 31102014.xlsx,2014-10,27,27,27,27,27,27
00_datos_crudos\BOL BANCOS PRIVADOS 31122014.xlsx,2014-12,27,27,27,27,27,27
00_datos_crudos\BOL BCOS PRIVADOS 201508.xlsx,2015-08,22,22,22,22,22,22
00_datos_crudos\BOL BCOS PRIVADOS 201509.xlsx,2015-09,22,22,22,22,22,22
00_datos_crudos\BOL BCOS PRIVADOS 201510.xlsx,2015-10,22,22,22,22,22,22
00_datos_crudos\BOL BCOS PRIVADOS 201511.xlsx,2015-11,22,22,22,22,22,22
00_datos_crudos\BOL BCOS PRIVADOS 201512.xlsx,2015-12,22,22,22,22,22,22
00_datos_crudos\BOL-FIN-BCOS-DIC-20-2.xlsx,2020-12,24,24,24,24,24,24
00_datos_crudos\BOL-FIN-BCOS-OCT-20.xlsm,2020-10,24,24,24,24,24,24
00_datos_crudos\BOL200903BCOS.xls,2009-03,25,25,25,25,25,25
00_datos_crudos\BOL200907BCOS.xls,2009-07,25,25,25,25,25,25
00_datos_crudos\BOL201102B PLANTILLA web .xls,2011-02,25,25,25,25,25,25
00_datos_crudos\BOL201103B WEB.xls,2011-03,25,25,25,25,25,25
00_datos_crudos\BOL201104B PLANTILLA web.xls,2011-04,25,25,25,25,25,25
00_datos_crudos\BOL201105B PLANTILLA web.xls,2011-05,25,25,25,25,25,25
00_datos_crudos\BOL201107B PLANTILLA web 2.xls,2011-07,25,25,25,25,25,25
00_datos_crudos\BOL201110B PLANTILLA FINAL WEB 2.xls,2011-10,26,26,26,26,26,26
00_datos_crudos\BOL201201B PLANTILLA web 2.xls,2012-01,26,26,26,26,26,26
00_datos_crudos\BOL201206 PLANTILLA web .xls,2012-06,26,26,26,26,26,26
00_datos_crudos\BOL201207 PLANTILLA web 3 .xls,2012-07,26,26,26,26,26,26
00_datos_crudos\BOLETIN BANCOS NOVIEMBRE 2022.xlsx,2022-11,24,24,24,24,24,24
00_datos_crudos\BOL_BANCOS PRIVADOS_ABRIL_2012.xls,2012-04,26,26,26,26,26,26
00_datos_crudos\BOL_BANCOS PRIVADOS_DIC_2011_Actualizada.xls,2011-12,26,26,26,26,26,26
00_datos_crudos\BOL_BANCOS PRIVADOS_NOV_2011_Actualizada.xls,2011-11,26,26,26,26,26,26
00_datos_crudos\BOL_BP_ABRIL 2018.xlsx,2018-04,24,24,24,24,24,24
00_datos_crudos\BOL_BP_ABRIL 2019.xlsx,2019-04,24,24,24,24,24,24
00_datos_crudos\BOL_BP_ABRIL 2020.xlsx,2020-04,24,24,24,24,24,24
00_datos_crudos\BOL_BP_ABR_ 2017.xlsx,2017-04,23,23,23,23,23,23
00_datos_crudos\BOL_BP_AGOSTO 2018.xlsx,2018-08,24,24,24,24,24,24
00_datos_crudos\BOL_BP_AGOSTO 2019.xlsx,2019-08,24,24,24,24,24,24
00_datos_crudos\BOL_BP_AGOSTO_ 2017.xlsx,2017-08,24,24,24,24,24,24
00_datos_crudos\BOL_BP_DICIEMBRE 2018.xlsx,2018-12,24,24,24,24,24,24
00_datos_crudos\BOL_BP_DICIEMBRE 2019.xlsx,2019-12,24,24,24,24,24,24
