periodo,banco_estandarizado,indicador,valor,unidad,sentido
2009-01,AMAZONAS,activos_totales,111.57,millones_usd,mayor_es_tamano
2009-01,AMAZONAS,morosidad,4.55,porcentaje,menor_es_mejor
2009-01,AMAZONAS,pasivos_totales,100.08,millones_usd,informativo
2009-01,AMAZONAS,patrimonio,11.38,millones_usd,mayor_es_mejor
2009-01,AMAZONAS,roe,11.41,porcentaje,mayor_es_mejor
2009-01,AMAZONAS,solvencia_proxy,8.65,porcentaje,mayor_es_mejor
2009-01,AUSTRO,activos_totales,646.02,millones_usd,mayor_es_tamano
2009-01,AUSTRO,morosidad,6.1,porcentaje,menor_es_mejor
2009-01,AUSTRO,pasivos_totales,588.88,millones_usd,informativo
2009-01,AUSTRO,patrimonio,56.66,millones_usd,mayor_es_mejor
2009-01,AUSTRO,roe,10.11,porcentaje,mayor_es_mejor
2009-01,AUSTRO,solvencia_proxy,7.52,porcentaje,mayor_es_mejor
2009-01,BOLIVARIANO,activos_totales,1271.1,millones_usd,mayor_es_tamano
2009-01,BOLIVARIANO,morosidad,1.39,porcentaje,menor_es_mejor
2009-01,BOLIVARIANO,pasivos_totales,1157.19,millones_usd,informativo
2009-01,BOLIVARIANO,patrimonio,112.64,millones_usd,mayor_es_mejor
2009-01,BOLIVARIANO,roe,13.53,porcentaje,mayor_es_mejor
2009-01,BOLIVARIANO,solvencia_proxy,7.84,porcentaje,mayor_es_mejor
2009-01,CAPITAL,activos_totales,65.8,millones_usd,mayor_es_tamano
2009-01,CAPITAL,morosidad,10.98,porcentaje,menor_es_mejor
2009-01,CAPITAL,pasivos_totales,54.06,millones_usd,informativo
2009-01,CAPITAL,patrimonio,11.72,millones_usd,mayor_es_mejor
2009-01,CAPITAL,roe,2.82,porcentaje,mayor_es_mejor
2009-01,CAPITAL,solvencia_proxy,15.37,porcentaje,mayor_es_mejor
2009-01,CITIBANK,activos_totales,319.13,millones_usd,mayor_es_tamano
2009-01,CITIBANK,morosidad,4.22,porcentaje,menor_es_mejor
2009-01,CITIBANK,pasivos_totales,289.8,millones_usd,informativo
2009-01,CITIBANK,patrimonio,28.96,millones_usd,mayor_es_mejor
2009-01,CITIBANK,roe,15.54,porcentaje,mayor_es_mejor
2009-01,CITIBANK,solvencia_proxy,7.7,porcentaje,mayor_es_mejor
2009-01,COFIEC,activos_totales,12.37,millones_usd,mayor_es_tamano
2009-01,COFIEC,morosidad,23.99,porcentaje,menor_es_mejor
2009-01,COFIEC,pasivos_totales,3.98,millones_usd,informativo
2009-01,COFIEC,patrimonio,8.42,millones_usd,mayor_es_mejor
2009-01,COFIEC,roe,-3.89,porcentaje,mayor_es_mejor
2009-01,COFIEC,solvencia_proxy,53.02,porcentaje,mayor_es_mejor
2009-01,COMERCIAL DE MANABI,activos_totales,33.8,millones_usd,mayor_es_tamano
2009-01,COMERCIAL DE MANABI,morosidad,3.86,porcentaje,menor_es_mejor
2009-01,COMERCIAL DE MANABI,pasivos_totales,27.52,millones_usd,informativo
2009-01,COMERCIAL DE MANABI,patrimonio,6.28,millones_usd,mayor_es_mejor
2009-01,COMERCIAL DE MANABI,roe,43.95,porcentaje,mayor_es_mejor
2009-01,COMERCIAL DE MANABI,solvencia_proxy,13.22,porcentaje,mayor_es_mejor
2009-01,DELBANK,activos_totales,18.09,millones_usd,mayor_es_tamano
2009-01,DELBANK,morosidad,3.63,porcentaje,menor_es_mejor
2009-01,DELBANK,pasivos_totales,10.74,millones_usd,informativo
2009-01,DELBANK,patrimonio,7.34,millones_usd,mayor_es_mejor
2009-01,DELBANK,roe,32.09,porcentaje,mayor_es_mejor
2009-01,DELBANK,solvencia_proxy,28.54,porcentaje,mayor_es_mejor
2009-01,FINCA,activos_totales,37.77,millones_usd,mayor_es_tamano
2009-01,FINCA,morosidad,10.56,porcentaje,menor_es_mejor
2009-01,FINCA,pasivos_totales,27.51,millones_usd,informativo
2009-01,FINCA,patrimonio,10.21,millones_usd,mayor_es_mejor
2009-01,FINCA,roe,5.97,porcentaje,mayor_es_mejor
2009-01,FINCA,solvencia_proxy,24.22,porcentaje,mayor_es_mejor
2009-01,GENERAL RUMIÑAHUI,activos_totales,324.85,millones_usd,mayor_es_tamano
2009-01,GENERAL RUMIÑAHUI,morosidad,3.6,porcentaje,menor_es_mejor
2009-01,GENERAL RUMIÑAHUI,pasivos_totales,303.03,millones_usd,informativo
2009-01,GENERAL RUMIÑAHUI,patrimonio,21.5,millones_usd,mayor_es_mejor
2009-01,GENERAL RUMIÑAHUI,roe,18.03,porcentaje,mayor_es_mejor
2009-01,GENERAL RUMIÑAHUI,solvencia_proxy,5.83,porcentaje,mayor_es_mejor
2009-01,GUAYAQUIL,activos_totales,2180.19,millones_usd,mayor_es_tamano
2009-01,GUAYAQUIL,morosidad,2.38,porcentaje,menor_es_mejor
2009-01,GUAYAQUIL,pasivos_totales,2002.92,millones_usd,informativo
2009-01,GUAYAQUIL,patrimonio,174.44,millones_usd,mayor_es_mejor
2009-01,GUAYAQUIL,roe,19.41,porcentaje,mayor_es_mejor
2009-01,GUAYAQUIL,solvencia_proxy,6.89,porcentaje,mayor_es_mejor
2009-01,INTERNACIONAL,activos_totales,1194.43,millones_usd,mayor_es_tamano
2009-01,INTERNACIONAL,morosidad,2.76,porcentaje,menor_es_mejor
2009-01,INTERNACIONAL,pasivos_totales,1077.17,millones_usd,informativo
2009-01,INTERNACIONAL,patrimonio,116.13,millones_usd,mayor_es_mejor
2009-01,INTERNACIONAL,roe,11.68,porcentaje,mayor_es_mejor
2009-01,INTERNACIONAL,solvencia_proxy,8.44,porcentaje,mayor_es_mejor
2009-01,LITORAL,activos_totales,18.81,millones_usd,mayor_es_tamano
2009-01,LITORAL,morosidad,4.5,porcentaje,menor_es_mejor
2009-01,LITORAL,pasivos_totales,15.22,millones_usd,informativo
2009-01,LITORAL,patrimonio,3.54,millones_usd,mayor_es_mejor
2009-01,LITORAL,roe,16.53,porcentaje,mayor_es_mejor
2009-01,LITORAL,solvencia_proxy,14.56,porcentaje,mayor_es_mejor
2009-01,LLOYDS BANK,activos_totales,208.26,millones_usd,mayor_es_tamano
2009-01,LLOYDS BANK,morosidad,0.69,porcentaje,menor_es_mejor
2009-01,LLOYDS BANK,pasivos_totales,183.71,millones_usd,informativo
2009-01,LLOYDS BANK,patrimonio,24.31,millones_usd,mayor_es_mejor
2009-01,LLOYDS BANK,roe,11.39,porcentaje,mayor_es_mejor
2009-01,LLOYDS BANK,solvencia_proxy,11.09,porcentaje,mayor_es_mejor
2009-01,LOJA,activos_totales,201.45,millones_usd,mayor_es_tamano
2009-01,LOJA,morosidad,2.85,porcentaje,menor_es_mejor
2009-01,LOJA,pasivos_totales,182.16,millones_usd,informativo
2009-01,LOJA,patrimonio,18.91,millones_usd,mayor_es_mejor
2009-01,LOJA,roe,24.32,porcentaje,mayor_es_mejor
2009-01,LOJA,solvencia_proxy,7.89,porcentaje,mayor_es_mejor
2009-01,MACHALA,activos_totales,341.2,millones_usd,mayor_es_tamano
2009-01,MACHALA,morosidad,3.61,porcentaje,menor_es_mejor
2009-01,MACHALA,pasivos_totales,309.05,millones_usd,informativo
2009-01,MACHALA,patrimonio,32.04,millones_usd,mayor_es_mejor
2009-01,MACHALA,roe,3.98,porcentaje,mayor_es_mejor
2009-01,MACHALA,solvencia_proxy,8.11,porcentaje,mayor_es_mejor
2009-01,MM JARAMILLO ARTEAGA,activos_totales,467.35,millones_usd,mayor_es_tamano
2009-01,MM JARAMILLO ARTEAGA,morosidad,2.3,porcentaje,menor_es_mejor
2009-01,MM JARAMILLO ARTEAGA,pasivos_totales,433.91,millones_usd,informativo
2009-01,MM JARAMILLO ARTEAGA,patrimonio,33.19,millones_usd,mayor_es_mejor
2009-01,MM JARAMILLO ARTEAGA,roe,8.91,porcentaje,mayor_es_mejor
2009-01,MM JARAMILLO ARTEAGA,solvencia_proxy,6.57,porcentaje,mayor_es_mejor
2009-01,PACIFICO,activos_totales,1734.25,millones_usd,mayor_es_tamano
2009-01,PACIFICO,morosidad,2.98,porcentaje,menor_es_mejor
2009-01,PACIFICO,pasivos_totales,1462.2,millones_usd,informativo
2009-01,PACIFICO,patrimonio,269.03,millones_usd,mayor_es_mejor
2009-01,PACIFICO,roe,13.48,porcentaje,mayor_es_mejor
2009-01,PACIFICO,solvencia_proxy,14.1,porcentaje,mayor_es_mejor
2009-01,PICHINCHA,activos_totales,4353.79,millones_usd,mayor_es_tamano
2009-01,PICHINCHA,morosidad,2.37,porcentaje,menor_es_mejor
2009-01,PICHINCHA,pasivos_totales,3888.59,millones_usd,informativo
2009-01,PICHINCHA,patrimonio,460.05,millones_usd,mayor_es_mejor
2009-01,PICHINCHA,roe,13.4,porcentaje,mayor_es_mejor
2009-01,PICHINCHA,solvencia_proxy,9.44,porcentaje,mayor_es_mejor
2009-01,PROCREDIT,activos_totales,288.57,millones_usd,mayor_es_tamano
2009-01,PROCREDIT,morosidad,2.24,porcentaje,menor_es_mejor
2009-01,PROCREDIT,pasivos_totales,252.1,millones_usd,informativo
2009-01,PROCREDIT,patrimonio,36.12,millones_usd,mayor_es_mejor
2009-01,PROCREDIT,roe,11.64,porcentaje,mayor_es_mejor
2009-01,PROCREDIT,solvencia_proxy,11.58,porcentaje,mayor_es_mejor
2009-01,PRODUBANCO,activos_totales,1585.62,millones_usd,mayor_es_tamano
2009-01,PRODUBANCO,morosidad,1.29,porcentaje,menor_es_mejor
2009-01,PRODUBANCO,pasivos_totales,1431.44,millones_usd,informativo
2009-01,PRODUBANCO,patrimonio,153.77,millones_usd,mayor_es_mejor
2009-01,PRODUBANCO,roe,3.21,porcentaje,mayor_es_mejor
2009-01,PRODUBANCO,solvencia_proxy,8.76,porcentaje,mayor_es_mejor
2009-01,SOLIDARIO,activos_totales,299.53,millones_usd,mayor_es_tamano
2009-01,SOLIDARIO,morosidad,7.63,porcentaje,menor_es_mejor
