periodo,fecha_corte,anio,mes,numero_bancos,numero_archivos,numero_registros
2009-01,2009-01-31,2009,1,25,1,150
2009-02,2009-02-28,2009,2,24,1,144
2009-03,2009-03-31,2009,3,25,1,150
2009-04,2009-04-30,2009,4,25,1,150
2009-05,2009-05-31,2009,5,25,1,150
2009-06,2009-06-30,2009,6,25,1,150
2009-07,2009-07-31,2009,7,25,1,150
2009-08,2009-08-31,2009,8,25,1,150
2009-09,2009-09-30,2009,9,25,1,150
2009-10,2009-10-31,2009,10,25,1,150
2009-11,2009-11-30,2009,11,25,1,150
2009-12,2009-12-31,2009,12,25,1,150
2010-01,2010-01-31,2010,1,25,1,150
2010-02,2010-02-28,2010,2,25,1,150
2010-03,2010-03-31,2010,3,25,1,150
2010-04,2010-04-30,2010,4,25,1,150
2010-05,2010-05-31,2010,5,25,1,150
2010-06,2010-06-30,2010,6,25,1,150
2010-07,2010-07-31,2010,7,25,1,150
2010-08,2010-08-31,2010,8,25,1,150
2010-09,2010-09-30,2010,9,25,1,150
2010-10,2010-10-31,2010,10,25,1,150
2010-11,2010-11-30,2010,11,25,1,150
2010-12,2010-12-31,2010,12,25,1,150
2011-01,2011-01-31,2011,1,25,1,150
2011-02,2011-02-28,2011,2,25,1,150
2011-03,2011-03-31,2011,3,25,1,150
2011-04,2011-04-30,2011,4,25,1,150
2011-05,2011-05-31,2011,5,25,1,150
2011-06,2011-06-30,2011,6,25,1,150
2011-07,2011-07-31,2011,7,25,1,150
2011-08,2011-08-31,2011,8,25,1,150
2011-09,2011-09-30,2011,9,26,1,156
2011-10,2011-10-31,2011,10,26,1,156
2011-11,2011-11-30,2011,11,26,1,156
2011-12,2011-12-31,2011,12,26,1,156
2012-01,2012-01-31,2012,1,26,1,156
2012-02,2012-02-29,2012,2,26,1,156
2012-03,2012-03-31,2012,3,26,1,156
2012-04,2012-04-30,2012,4,26,1,156
2012-05,2012-05-31,2012,5,26,1,156
2012-06,2012-06-30,2012,6,26,1,156
2012-07,2012-07-31,2012,7,26,1,156
2012-08,2012-08-31,2012,8,26,1,156
2012-09,2012-09-30,2012,9,26,1,156
2012-10,2012-10-31,2012,10,26,1,156
2012-11,2012-11-30,2012,11,26,1,156
2012-12,2012-12-31,2012,12,26,1,156
2013-01,2013-01-31,2013,1,26,1,156
2013-02,2013-02-28,2013,2,26,1,156
2013-03,2013-03-31,2013,3,26,1,156
2013-04,2013-04-30,2013,4,26,1,156
2013-05,2013-05-31,2013,5,26,1,156
2013-06,2013-06-30,2013,6,26,1,156
2013-07,2013-07-31,2013,7,26,1,156
2013-08,2013-08-31,2013,8,26,1,156
2013-09,2013-09-30,2013,9,26,1,156
2013-10,2013-10-31,2013,10,26,1,156
2013-11,2013-11-30,2013,11,26,1,156
2013-12,2013-12-31,2013,12,26,1,156
2014-01,2014-01-31,2014,1,26,1,156
2014-02,2014-02-28,2014,2,26,1,156
2014-03,2014-03-31,2014,3,27,1,162
2014-04,2014-04-30,2014,4,27,1,162
2014-05,2014-05-31,2014,5,27,1,162
2014-06,2014-06-30,2014,6,27,1,162
2014-07,2014-07-31,2014,7,27,1,162
2014-08,2014-08-31,2014,8,27,1,162
2014-09,2014-09-30,2014,9,27,1,162
2014-10,2014-10-31,2014,10,27,1,162
2014-11,2014-11-30,2014,11,27,1,162
2014-12,2014-12-31,2014,12,27,1,162
2015-01,2015-01-31,2015,1,23,1,138
