periodo,periodo_dt,anio,mes,banco_estandarizado,activos_totales,pasivos_totales,patrimonio,morosidad,solvencia_proxy,roe,roe_real,roe_estimado,error_roe,error_abs_roe
2009-01,2009-01-01,2009,1,AMAZONAS,111.57,100.08,11.38,4.55,8.65,11.41,11.41,8.223050264087766,3.1869497359122345,3.1869497359122345
2009-01,2009-01-01,2009,1,AUSTRO,646.02,588.88,56.66,6.1,7.52,10.11,10.11,12.60655732656233,-2.49655732656233,2.49655732656233
2009-01,2009-01-01,2009,1,BOLIVARIANO,1271.1,1157.19,112.64,1.39,7.84,13.53,13.53,13.107103217615727,0.42289678238427264,0.42289678238427264
2009-01,2009-01-01,2009,1,CAPITAL,65.8,54.06,11.72,10.98,15.37,2.82,2.82,10.784800520035523,-7.9648005200355225,7.9648005200355225
2009-01,2009-01-01,2009,1,CITIBANK,319.13,289.8,28.96,4.22,7.7,15.54,15.54,17.725401723369217,-2.1854017233692176,2.1854017233692176
2009-01,2009-01-01,2009,1,COFIEC,12.37,3.98,8.42,23.99,53.02,-3.89,-3.89,9.764918458393465,-13.654918458393466,13.654918458393466
2009-01,2009-01-01,2009,1,COMERCIAL DE MANABI,33.8,27.52,6.28,3.86,13.22,43.95,43.95,22.700730149039412,21.24926985096059,21.24926985096059
2009-01,2009-01-01,2009,1,DELBANK,18.09,10.74,7.34,3.63,28.54,32.09,32.09,26.304019205886704,5.7859807941133,5.7859807941133
2009-01,2009-01-01,2009,1,FINCA,37.77,27.51,10.21,10.56,24.22,5.97,5.97,5.387295030895034,0.5827049691049657,0.5827049691049657
2009-01,2009-01-01,2009,1,GENERAL RUMIÑAHUI,324.85,303.03,21.5,3.6,5.83,18.03,18.03,20.65017206950457,-2.6201720695045694,2.6201720695045694
2009-01,2009-01-01,2009,1,GUAYAQUIL,2180.19,2002.92,174.44,2.38,6.89,19.41,19.41,17.10704485634735,2.3029551436526496,2.3029551436526496
2009-01,2009-01-01,2009,1,INTERNACIONAL,1194.43,1077.17,116.13,2.76,8.44,11.68,11.68,12.040378132885623,-0.36037813288562326,0.36037813288562326
2009-01,2009-01-01,2009,1,LITORAL,18.81,15.22,3.54,4.5,14.56,16.53,16.53,9.975039766714765,6.554960233285236,6.554960233285236
2009-01,2009-01-01,2009,1,LLOYDS BANK,208.26,183.71,24.31,0.69,11.09,11.39,11.39,11.859523950216458,-0.4695239502164572,0.4695239502164572
2009-01,2009-01-01,2009,1,LOJA,201.45,182.16,18.91,2.85,7.89,24.32,24.32,24.458357168109682,-0.1383571681096818,0.1383571681096818
2009-01,2009-01-01,2009,1,MACHALA,341.2,309.05,32.04,3.61,8.11,3.98,3.98,6.71970126863877,-2.7397012686387696,2.7397012686387696
2009-01,2009-01-01,2009,1,MM JARAMILLO ARTEAGA,467.35,433.91,33.19,2.3,6.57,8.91,8.91,8.805445511063011,0.10455448893698893,0.10455448893698893
