ds,yhat,yhat_lower,yhat_upper,trend,valor_real,tipo,periodo,anio,mes,banco_estandarizado,indicador
2009-01-01,118.37427501541228,105.26784995991393,130.9677393164472,116.41651350750001,111.57,historico_ajustado,2009-01,2009,1,AMAZONAS,activos_totales
2009-02-01,123.48848839955015,110.72999119717713,135.99679522785686,116.9667775033521,113.85,historico_ajustado,2009-02,2009,2,AMAZONAS,activos_totales
2009-03-01,119.10319277759712,106.47292981179919,131.27129621398745,117.46379014476692,114.34,historico_ajustado,2009-03,2009,3,AMAZONAS,activos_totales
2009-04-01,117.86110220477073,105.7543252652444,129.80226246087497,118.01405414061904,115.09,historico_ajustado,2009-04,2009,4,AMAZONAS,activos_totales
2009-05-01,120.74447363945015,107.62655602660831,133.21813593173536,118.54656768499204,115.35,historico_ajustado,2009-05,2009,5,AMAZONAS,activos_totales
2009-06-01,120.05838721297222,107.44796841708337,132.57584190055675,119.09683168084413,119.15,historico_ajustado,2009-06,2009,6,AMAZONAS,activos_totales
2009-07-01,119.54273858682751,107.43229948717972,132.4622625375258,119.62934522521714,123.79,historico_ajustado,2009-07,2009,7,AMAZONAS,activos_totales
2009-08-01,121.22939600131565,109.65316464773592,133.98693548860643,120.17960922106926,127.19,historico_ajustado,2009-08,2009,8,AMAZONAS,activos_totales
2009-09-01,120.7938919917807,108.63388085098437,133.09502627910516,120.72987322329733,127.86,historico_ajustado,2009-09,2009,9,AMAZONAS,activos_totales
2009-10-01,121.98513210515257,109.8036085852156,134.53877510238502,121.26238677384066,131.89,historico_ajustado,2009-10,2009,10,AMAZONAS,activos_totales
2009-11-01,123.75581263359851,111.13690784096897,136.37396459389538,121.81265077606876,131.32,historico_ajustado,2009-11,2009,11,AMAZONAS,activos_totales
2009-12-01,123.39847403171666,110.55142822122144,136.54416233666248,122.34516432661206,114.51,historico_ajustado,2009-12,2009,12,AMAZONAS,activos_totales
2010-01-01,124.65392294954606,112.82958045188742,136.68539394194755,122.89542832884017,118.23,historico_ajustado,2010-01,2010,1,AMAZONAS,activos_totales
2010-02-01,127.72335098788491,115.75590463663451,139.8130034899919,123.44569233106827,121.07,historico_ajustado,2010-02,2010,2,AMAZONAS,activos_totales
2010-03-01,127.56449216198286,114.8517242329559,139.37267014068738,123.94270497621346,122.72,historico_ajustado,2010-03,2010,3,AMAZONAS,activos_totales
2010-04-01,125.02787347061823,113.07019837279144,136.5612914807552,124.49296897619564,121.84,historico_ajustado,2010-04,2010,4,AMAZONAS,activos_totales
2010-05-01,126.82877345475835,115.56669557497813,138.8053151259005,125.0254825245655,121.74,historico_ajustado,2010-05,2010,5,AMAZONAS,activos_totales
2010-06-01,125.99411481442792,113.38734046917884,137.9178362952534,125.57574652454772,128.78,historico_ajustado,2010-06,2010,6,AMAZONAS,activos_totales
2010-07-01,125.46471208608763,113.39308756580715,138.41852905630273,126.10826007291756,128.97,historico_ajustado,2010-07,2010,7,AMAZONAS,activos_totales
2010-08-01,127.73044937113585,115.01934881348672,139.58817123166278,126.65852407289975,127.94,historico_ajustado,2010-08,2010,8,AMAZONAS,activos_totales
2010-09-01,128.12533620211826,116.01910033264612,140.51232588436702,127.20878807288196,127.81,historico_ajustado,2010-09,2010,9,AMAZONAS,activos_totales
2010-10-01,128.44965434357997,115.9932370401682,139.93285251745095,127.74130157459953,126.51,historico_ajustado,2010-10,2010,10,AMAZONAS,activos_totales
2010-11-01,129.89313655052368,117.93765539888344,142.49262520558952,128.29156552637434,127.39,historico_ajustado,2010-11,2010,11,AMAZONAS,activos_totales
2010-12-01,130.61572399398887,118.18736368462181,142.54858522563094,128.82407902809192,131.93,historico_ajustado,2010-12,2010,12,AMAZONAS,activos_totales
2011-01-01,130.90069092975224,118.26631432854377,143.4972503236253,129.37434297986673,129.37,historico_ajustado,2011-01,2011,1,AMAZONAS,activos_totales
2011-02-01,131.98087461401704,120.71628861775841,144.6056672423449,129.9246069316416,131.51,historico_ajustado,2011-02,2011,2,AMAZONAS,activos_totales
2011-03-01,136.05725595508972,124.35299378120997,148.90280216875098,130.42161953324464,129.79,historico_ajustado,2011-03,2011,3,AMAZONAS,activos_totales
2011-04-01,132.1674325811827,119.49127829596547,143.26250631488705,130.97188329916992,129.58,historico_ajustado,2011-04,2011,4,AMAZONAS,activos_totales
2011-05-01,132.8855091655771,120.33535064266096,145.44878232097193,131.50439662103307,134.09,historico_ajustado,2011-05,2011,5,AMAZONAS,activos_totales
2011-06-01,131.92209311000832,118.86343335845142,144.38654719097607,132.05466038695835,135.18,historico_ajustado,2011-06,2011,6,AMAZONAS,activos_totales
2011-07-01,131.40138446730757,119.14078834214264,143.42596474080207,132.58717370882152,137.04,historico_ajustado,2011-07,2011,7,AMAZONAS,activos_totales
2011-08-01,134.25599357229098,121.85574320087262,147.12020005524658,133.13743747474678,136.82,historico_ajustado,2011-08,2011,8,AMAZONAS,activos_totales
2011-09-01,135.46119983657138,123.37678618240929,147.4621370534219,133.68770124067206,138.97,historico_ajustado,2011-09,2011,9,AMAZONAS,activos_totales
2011-10-01,134.9002226674261,122.31221886180775,146.11430685850587,134.22021456253523,135.25,historico_ajustado,2011-10,2011,10,AMAZONAS,activos_totales
2011-11-01,135.89292114233905,122.94728379272576,148.74862691899426,134.63156583451322,137.22,historico_ajustado,2011-11,2011,11,AMAZONAS,activos_totales
2011-12-01,137.5501831255725,125.54762249289041,149.6767969830937,135.02964771062096,137.34,historico_ajustado,2011-12,2011,12,AMAZONAS,activos_totales
2012-01-01,136.70304529394517,124.64994589984249,148.8382544352103,135.44099898259896,139.58,historico_ajustado,2012-01,2012,1,AMAZONAS,activos_totales
2012-02-01,135.71222587432726,123.08830155140167,147.8758120079561,135.85235025457698,140.83,historico_ajustado,2012-02,2012,2,AMAZONAS,activos_totales
2012-03-01,135.92778281904404,122.99924977689652,148.41355252980247,136.23716273481446,144.71,historico_ajustado,2012-03,2012,3,AMAZONAS,activos_totales
2012-04-01,135.78180608607727,123.83721836993341,148.3077942301427,136.64851400679245,141.75,historico_ajustado,2012-04,2012,4,AMAZONAS,activos_totales
2012-05-01,139.41663973403485,127.42494060078073,152.1687685903673,136.85210814730263,137.7,historico_ajustado,2012-05,2012,5,AMAZONAS,activos_totales
2012-06-01,138.558523435685,125.27724544519617,151.77473734490036,137.06248875916316,141.53,historico_ajustado,2012-06,2012,6,AMAZONAS,activos_totales
2012-07-01,137.75028249266555,125.10720536053836,150.2887848820299,137.26608289967334,143.83,historico_ajustado,2012-07,2012,7,AMAZONAS,activos_totales
2012-08-01,138.52870025819692,126.19143392335724,149.6574612423801,137.47646351153386,146.0,historico_ajustado,2012-08,2012,8,AMAZONAS,activos_totales
2012-09-01,136.90378092514757,124.46746421866057,150.46833634687357,137.68684412339437,147.84,historico_ajustado,2012-09,2012,9,AMAZONAS,activos_totales
2012-10-01,138.61381502496047,126.25806972494529,151.0575152207879,137.89043826390457,150.63,historico_ajustado,2012-10,2012,10,AMAZONAS,activos_totales
2012-11-01,140.38679086001795,128.2340639986671,152.8145011791564,138.10081887576507,157.95,historico_ajustado,2012-11,2012,11,AMAZONAS,activos_totales
2012-12-01,138.56580020236933,126.81047966967222,150.8844223199239,138.25965324553883,158.6,historico_ajustado,2012-12,2012,12,AMAZONAS,activos_totales
2013-01-01,140.38154360221264,127.59314541975772,152.19499054512923,138.42378209430504,153.59,historico_ajustado,2013-01,2013,1,AMAZONAS,activos_totales
2013-02-01,145.10962183926017,132.3381230984584,157.3387575815582,138.58791094307125,165.92,historico_ajustado,2013-02,2013,2,AMAZONAS,activos_totales
2013-03-01,140.3755589876769,128.55737516639715,152.73471102699955,138.73615635486007,157.53,historico_ajustado,2013-03,2013,3,AMAZONAS,activos_totales
2013-04-01,138.74733326777667,126.63527939327525,151.1470330603545,138.90028520362625,144.83,historico_ajustado,2013-04,2013,4,AMAZONAS,activos_totales
2013-05-01,141.2570255278572,129.09727894301562,153.23053188863312,139.0591195734,141.12,historico_ajustado,2013-05,2013,5,AMAZONAS,activos_totales
2013-06-01,140.18480392914196,127.5255039582235,152.17958740930962,139.22324839700758,133.28,historico_ajustado,2013-06,2013,6,AMAZONAS,activos_totales
2013-07-01,139.29547610404038,127.70958019785883,151.1070117409614,139.38208274243428,128.7,historico_ajustado,2013-07,2013,7,AMAZONAS,activos_totales
2013-08-01,140.59599834629017,127.71940794508664,152.98341956991905,139.54621156604188,128.69,historico_ajustado,2013-08,2013,8,AMAZONAS,activos_totales
2013-09-01,139.77435915812248,127.44133045239192,152.13032958163112,139.71034038964947,133.61,historico_ajustado,2013-09,2013,9,AMAZONAS,activos_totales
2013-10-01,140.59192006637946,128.22078490251695,152.50259456020035,139.86917473507617,132.47,historico_ajustado,2013-10,2013,10,AMAZONAS,activos_totales
2013-11-01,141.97646541620685,129.7796641079648,153.92516662944206,140.03330355868374,128.97,historico_ajustado,2013-11,2013,11,AMAZONAS,activos_totales
2013-12-01,141.24544760921378,129.56058947943464,153.30007113869948,140.19213790411044,130.68,historico_ajustado,2013-12,2013,12,AMAZONAS,activos_totales
2014-01-01,142.11476138007373,129.57228950273247,154.04477616011334,140.35626675937272,131.79,historico_ajustado,2014-01,2014,1,AMAZONAS,activos_totales
2014-02-01,144.7980542714429,131.93468474785655,156.98924998305367,140.520395614635,131.64,historico_ajustado,2014-02,2014,2,AMAZONAS,activos_totales
2014-03-01,144.29042821806948,131.5232187557711,156.1362344920474,140.66864103229122,133.96,historico_ajustado,2014-03,2014,3,AMAZONAS,activos_totales
2014-04-01,141.36767438197916,129.07307093614534,154.4375335513494,140.8327698875535,132.92,historico_ajustado,2014-04,2014,4,AMAZONAS,activos_totales
2014-05-01,142.794895193803,130.39692976282092,155.59419406254426,140.99160426361374,135.86,historico_ajustado,2014-05,2014,5,AMAZONAS,activos_totales
2014-06-01,141.57410140875268,129.2425549931575,153.28511064354458,141.15573311887601,135.84,historico_ajustado,2014-06,2014,6,AMAZONAS,activos_totales
2014-07-01,140.70048319648322,128.56519009270414,152.53747091717332,141.34403118331613,137.09,historico_ajustado,2014-07,2014,7,AMAZONAS,activos_totales
2014-08-01,142.6105311481429,130.55241850931273,154.72494460535006,141.53860584990426,140.04,historico_ajustado,2014-08,2014,8,AMAZONAS,activos_totales
2014-09-01,142.64972864572994,130.17557626307246,154.52382389291733,141.7331805164924,142.22,historico_ajustado,2014-09,2014,9,AMAZONAS,activos_totales
2014-10-01,142.62983134991558,130.7055507708988,155.21917381854269,141.92147858093253,143.51,historico_ajustado,2014-10,2014,10,AMAZONAS,activos_totales
2014-11-01,143.7176242716733,131.22468769930998,156.01283060804352,142.11605324752065,142.86,historico_ajustado,2014-11,2014,11,AMAZONAS,activos_totales
2014-12-01,144.0959962778459,131.92558152449948,156.59536872931247,142.3043513119608,144.0,historico_ajustado,2014-12,2014,12,AMAZONAS,activos_totales
2015-01-01,144.02527392843265,131.29563634391715,155.72368482119296,142.4989259785489,140.06,historico_ajustado,2015-01,2015,1,AMAZONAS,activos_totales
2015-02-01,144.83226280748633,131.71652115454523,157.00021595677438,142.7759951251116,142.33,historico_ajustado,2015-02,2015,2,AMAZONAS,activos_totales
2015-03-01,148.6618875503062,136.6512740098412,161.13542601170516,143.0262511284585,143.53,historico_ajustado,2015-03,2015,3,AMAZONAS,activos_totales
2015-04-01,144.49886955703465,132.09467554751706,156.163454996335,143.30332027502118,146.89,historico_ajustado,2015-04,2015,4,AMAZONAS,activos_totales
2015-05-01,144.95256425171686,133.22389642994727,156.71164337608087,143.5714517071786,151.92,historico_ajustado,2015-05,2015,5,AMAZONAS,activos_totales
2015-06-01,143.71595357678817,131.10417166720887,155.99834551855056,143.84852085374126,149.66,historico_ajustado,2015-06,2015,6,AMAZONAS,activos_totales
2015-07-01,142.93086304437696,129.81649403387877,154.68999634409133,144.11665228589868,144.83,historico_ajustado,2015-07,2015,7,AMAZONAS,activos_totales
2015-08-01,145.64924464175445,133.21418822278667,158.38648928964994,144.5306885442014,145.36,historico_ajustado,2015-08,2015,8,AMAZONAS,activos_totales
2015-09-01,146.7182233983973,134.43928612940167,157.99281732366273,144.9447248025041,145.6,historico_ajustado,2015-09,2015,9,AMAZONAS,activos_totales
2015-10-01,146.025413157373,133.41613828741208,158.19457169241485,145.34540505247446,143.05,historico_ajustado,2015-10,2015,10,AMAZONAS,activos_totales
2015-11-01,147.0207966186058,135.37236758922506,159.01741888988363,145.75944131077716,144.33,historico_ajustado,2015-11,2015,11,AMAZONAS,activos_totales
2015-12-01,148.68065697570367,136.0886193732461,161.45382212353923,146.1601215607475,142.28,historico_ajustado,2015-12,2015,12,AMAZONAS,activos_totales
